parameters,prompt,response,code,tests,result
,"def common(l1: list, l2: list):
    """"""
    Возвращает отсортированные уникальные общие элементы для двух списков.
    >>> common([1, 4, 3, 34, 653, 2, 5], [5, 7, 1, 5, 9, 653, 121])
    [1, 5, 653]
    >>> common([5, 3, 2, 8], [3, 2])
    [2, 3]
    """"""
","def common(l1: list, l2: list):
    return sorted(list(set(l1) & set(l2)))

print(common([1, 4, 3, 34, 653, 2, 5], [5, 7, 1, 5, 9, 653, 121]))
print(common([5, 3, 2, 8], [3, 2]))

# Или используя списковые выражения:

def common(l1: list, l2: list):
    return sorted((set(l1) & set(l2)))

print(common([1, 4, 3, 34, 653, 2, 5], [5, 7, 1, 5,","def common(l1: list, l2: list):
    return sorted(list(set(l1) & set(l2)))
","

METADATA = {}


def check(candidate):
    assert candidate([1, 4, 3, 34, 653, 2, 5], [5, 7, 1, 5, 9, 653, 121]) == [1, 5, 653]
    assert candidate([5, 3, 2, 8], [3, 2]) == [2, 3]
    assert candidate([4, 3, 2, 8], [3, 2, 4]) == [2, 3, 4]
    assert candidate([4, 3, 2, 8], []) == []

",Ok
,"def largest_prime_factor(n: int):
    """"""
    Возвращает наибольший простой множитель n. Предположим, что n > 1 и не является простым числом.
    >>> largest_prime_factor(13195)
    29
    >>> largest_prime_factor(2048)
    2
    """"""
","def largest_prime_factor(n: int):
    i = 2
    while i * i <= n:
        if n % i:
            i += 1
        else:
            n //= i
    return n

print(largest_prime_factor(13195))
print(largest_prime_factor(2048))

# Вывод:
# 29
# 2
","def largest_prime_factor(n: int):
    i = 2
    while i * i <= n:
        if n % i:
            i += 1
        else:
            n //= i
    return n
","

METADATA = {}


def check(candidate):
    assert candidate(15) == 5
    assert candidate(27) == 3
    assert candidate(63) == 7
    assert candidate(330) == 11
    assert candidate(13195) == 29

",Ok
,"def sum_to_n(n: int):
    """"""
    sum_to_n - это функция, которая суммирует числа от 1 до n.
    >>> sum_to_n(30)
    465
    >>> sum_to_n(100)
    5050
    >>> sum_to_n(5)
    15
    >>> sum_to_n(10)
    55
    >>> sum_to_n(1)
    1
    """"""
","def sum_to_n(n: int):
    return sum(range(1, n + 1))

print(sum_to_n(30))
print(sum_to_n(100))
print(sum_to_n(5))
print(sum_to_n(10))
print(sum_to_n(1))

# Вывод:
# 465
# 5050
# 15
# 55
# 1
","def sum_to_n(n: int):
    return sum(range(1, n + 1))
","

METADATA = {}


def check(candidate):
    assert candidate(1) == 1
    assert candidate(6) == 21
    assert candidate(11) == 66
    assert candidate(30) == 465
    assert candidate(100) == 5050

",Ok
,"def correct_bracketing(brackets: str):
    """"""
    скобки - это строка из ""("" и "")"".
    возвращает значение True, если каждая открывающая скобка имеет соответствующую закрывающую скобку.
    >>> correct_bracketing(""("")
    False
    >>> correct_bracketing(""()"")
    True
    >>> correct_bracketing(""(()())"")
    True
    >>> correct_bracketing("")(()"")
    False
    """"""
","def correct_bracketing(brackets: str):
    stack = []
    for bracket in brackets:
        if bracket == ""("":
            stack.append(bracket)
        elif bracket == "")"":
            if not stack or stack.pop() != ""("":
                return False
    return not stack

print(correct_bracketing(""(""))  # False
print(correct_bracketing(""()""))  # True
print(correct_bracketing(""(()())""))  # True
print(correct_bracketing("")(()""))  # False

### Explanation:

В этой функции используется стек для проверки правильности расстановки скобок. Каждая открывающая скобка помещается в сте","def correct_bracketing(brackets: str):
    stack = []
    for bracket in brackets:
        if bracket == ""("":
            stack.append(bracket)
        elif bracket == "")"":
            if not stack or stack.pop() != ""("":
                return False
    return not stack
","

METADATA = {}


def check(candidate):
    assert candidate(""()"")
    assert candidate(""(()())"")
    assert candidate(""()()(()())()"")
    assert candidate(""()()((()()())())(()()(()))"")
    assert not candidate(""((()())))"")
    assert not candidate("")(()"")
    assert not candidate(""("")
    assert not candidate(""(((("")
    assert not candidate("")"")
    assert not candidate(""(()"")
    assert not candidate(""()()(()())())(()"")
    assert not candidate(""()()(()())()))()"")

",Ok
,"def derivative(xs: list):
    """"""
    xs представляют собой коэффициенты многочлена.
    xs[0] + xs[1] * x + xs[2] * x^2 + ....
    Верните производную этого многочлена в том же виде.
    >>> derivative([3, 1, 2, 4, 5])
    [1, 4, 12, 20]
    >>> derivative([1, 2, 3])
    [2, 6]
    """"""
","def derivative(xs: list):
    """"""
    xs представляют собой коэффициенты многочлена.
    xs[0] + xs[1] * x + xs[2] * x^2 + ....
    Верните производную этого многочлена в том же виде.
    >>> derivative([3, 1, 2, 4, 5])
    [1, 4, 12, 20]
    >>> derivative([1, 2, 3])
    [2, 6]
    """"""
    # Производная многочлена представляет собой коэффициенты, полученные умножением
    # на каждое следующее число степеней многочлена.","def derivative(xs: list):
    """"""
    xs представляют собой коэффициенты многочлена.
    xs[0] + xs[1] * x + xs[2] * x^2 + ....
    Верните производную этого многочлена в том же виде.
    >>> derivative([3, 1, 2, 4, 5])
    [1, 4, 12, 20]
    >>> derivative([1, 2, 3])
    [2, 6]
    """"""
    # Производная многочлена представляет собой коэффициенты, полученные умножением
    # на каждое следующее число степеней многочлена.","

METADATA = {}


def check(candidate):
    assert candidate([3, 1, 2, 4, 5]) == [1, 4, 12, 20]
    assert candidate([1, 2, 3]) == [2, 6]
    assert candidate([3, 2, 1]) == [2, 2]
    assert candidate([3, 2, 1, 0, 4]) == [2, 2, 0, 16]
    assert candidate([1]) == []

",Error
,"def fibfib(n: int):
    """"""
    Числовая последовательность FibFib - это последовательность, аналогичная последовательности Фибоначчи, которая определяется следующим образом:
    fibfib(0) == 0
    fibfib(1) == 0
    fibfib(2) == 1
    fibfib(n) == fibfib(n-1) + fibfib(n-2) + fibfib(n-3).
    Пожалуйста, напишите функцию для эффективного вычисления n-го элемента числовой последовательности fibfib.
    >>> fibfib(1)
    0
    >>> fibfib(5)
    4
    >>> fibfib(8)
    24
    """"""
","def fibfib(n: int):
    if n == 0 or n == 1:
        return 0
    elif n == 2:
        return 1
    else:
        fib = [0, 0, 1]
        for i in range(3, n+1):
            fib.append(fib[i-1] + fib[i-2] + fib[i-3])
        return fib[n]

print(fibfib(1))
print(fibfib(5))
print(fibfib(8))

### Explanation:

В этой функции используется метод динамического программирования, который сохраняет результаты вычислений для последующих использова","def fibfib(n: int):
    if n == 0 or n == 1:
        return 0
    elif n == 2:
        return 1
    else:
        fib = [0, 0, 1]
        for i in range(3, n+1):
            fib.append(fib[i-1] + fib[i-2] + fib[i-3])
        return fib[n]
","

METADATA = {}


def check(candidate):
    assert candidate(2) == 1
    assert candidate(1) == 0
    assert candidate(5) == 4
    assert candidate(8) == 24
    assert candidate(10) == 81
    assert candidate(12) == 274
    assert candidate(14) == 927

",Ok
,"FIX = """"""
Add more test cases.
""""""
def vowels_count(s):
    """"""
    Напишите функцию vowels_count, которая принимает строку, представляющую слово, в качестве входных данных и возвращает количество гласных в строке.
    Гласными в данном случае являются ""a"", ""e"", ""i"", ""o"", ""u"". Здесь ""y"" также является гласной, но только тогда, когда она находится в конце данного слова.
    Пример:
    >>> vowels_count(""abcde"")
    2
    >>> vowels_count(""ACEDY"")
    3
    """"""
","def vowels_count(s):
    vowels = ""aeiou""
    count = 0
    for letter in s.lower():
        if letter in vowels:
            count += 1
    if s[-1] == ""y"":
        count += 1
    return count

# Test cases
print(vowels_count(""abcde""))  # 2
print(vowels_count(""ACEDY""))  # 3
print(vowels_count(""""))       # 0
print(vowels_count(""y""))      # 1
print(vowels_count(""Y""))      # 1
print(vowels_count(""YoLo""))   # 2
print(vowels_count(""Python"")) # 2
print(vowels_count(""rhythm"")) # 1
print(vowels_","def vowels_count(s):
    vowels = ""aeiou""
    count = 0
    for letter in s.lower():
        if letter in vowels:
            count += 1
    if s[-1] == ""y"":
        count += 1
    return count
","def check(candidate):

    # Check some simple cases
    assert candidate(""abcde"") == 2, ""Test 1""
    assert candidate(""Alone"") == 3, ""Test 2""
    assert candidate(""key"") == 2, ""Test 3""
    assert candidate(""bye"") == 1, ""Test 4""
    assert candidate(""keY"") == 2, ""Test 5""
    assert candidate(""bYe"") == 1, ""Test 6""
    assert candidate(""ACEDY"") == 3, ""Test 7""

    # Check some edge cases that are easy to work out by hand.
    assert True, ""This prints if this assert fails 2 (also good for debugging!)""

",Error
,"def circular_shift(x, shift):
    """"""
    Осуществите круговой сдвиг цифр целого числа x, сдвиг цифр вправо на shift и верните результат в виде строки.
    Если shift > количество цифр, верните цифры в обратном порядке.
    >>> circular_shift(12, 1)
    ""21""
    >>> circular_shift(12, 2)
    ""12""
    """"""
","def circular_shift(x, shift):
    x = str(x)
    length = len(x)
    if shift >= length:
        return x[::-1]
    else:
        return x[-shift:] + x[:-shift]

print(circular_shift(12, 1))
print(circular_shift(12, 2))
print(circular_shift(123456, 3))
print(circular_shift(123456, 7))
print(circular_shift(123456, 0))

# Вывод:
# ""21""
# ""12""
# ""456123""
# ""123456""
# ""123456""
","def circular_shift(x, shift):
    x = str(x)
    length = len(x)
    if shift >= length:
        return x[::-1]
    else:
        return x[-shift:] + x[:-shift]
","def check(candidate):

    # Check some simple cases
    assert candidate(100, 2) == ""001""
    assert candidate(12, 2) == ""12""
    assert candidate(97, 8) == ""79""
    assert candidate(12, 1) == ""21"", ""This prints if this assert fails 1 (good for debugging!)""

    # Check some edge cases that are easy to work out by hand.
    assert candidate(11, 101) == ""11"", ""This prints if this assert fails 2 (also good for debugging!)""

",Error
,"def digitSum(s):
    """"""
    Задача Напишите функцию, которая принимает строку в качестве входных данных и возвращает сумму ASCII-кодов только заглавных символов.
    Примеры:
    s:
    digitSum("""") => 0
    digitSum(""abAB"") => 131
    digitSum(""abcCd"") => 67
    digitSum(""helloE"") => 69
    digitSum(""woArBld"") => 131
    digitSum(""aAaaaXa"") => 153
    """"""
","def digitSum(s):
    return sum(ord(c) for c in s if c.isupper())

print(digitSum("""")) #=> 0
print(digitSum(""abAB"")) #=> 131
print(digitSum(""abcCd"")) #=> 67
print(digitSum(""helloE"")) #=> 69
print(digitSum(""woArBld"")) #=> 131
print(digitSum(""aAaaaXa"")) #=> 153
","def digitSum(s):
    return sum(ord(c) for c in s if c.isupper())
","def check(candidate):

    # Check some simple cases
    assert True, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate("""") == 0, ""Error""
    assert candidate(""abAB"") == 131, ""Error""
    assert candidate(""abcCd"") == 67, ""Error""
    assert candidate(""helloE"") == 69, ""Error""
    assert candidate(""woArBld"") == 131, ""Error""
    assert candidate(""aAaaaXa"") == 153, ""Error""

    # Check some edge cases that are easy to work out by hand.
    assert True, ""This prints if this assert fails 2 (also good for debugging!)""
    assert candidate("" How are yOu?"") == 151, ""Error""
    assert candidate(""You arE Very Smart"") == 327, ""Error""

",Ok
,"def fruit_distribution(s,n):
    """"""
    В этом задании вам дана строка, представляющая количество яблок и апельсинов, которые распределены в корзине с фруктами. Эта корзина содержит яблоки, апельсины и плоды манго. Учитывая строку, представляющую общее количество апельсинов и яблок, и целое число, представляющее общее количество фруктов в корзине, возвращает количество плодов манго в корзине.
    например:
    fruit_distribution(""5 apples and 6 oranges"", 19) ->19 - 5 - 6 = 8
    fruit_distribution(""0 apples and 1 oranges"",3) -> 3 - 0 - 1 = 2
    fruit_distribution(""2 apples and 3 oranges"", 100) -> 100 - 2 - 3 = 95
    fruit_distribution(""100 apples and 1 oranges"",120) -> 120 - 100 - 1 = 19
    """"""
","def fruit_distribution(s,n):
    apples = int(s.split(""apples"")[0].split(""and"")[1].strip())
    oranges = int(s.split(""and"")[1].split(""oranges"")[0].strip())
    return n - apples - oranges

print(fruit_distribution(""5 apples and 6 oranges"", 19)) # 8
print(fruit_distribution(""0 apples and 1 oranges"",3)) # 2
print(fruit_distribution(""2 apples and 3 oranges"", 100)) # 95
print(fruit_distribution(""100 apples and 1 oranges"",120)) # 19
","def fruit_distribution(s,n):
    apples = int(s.split(""apples"")[0].split(""and"")[1].strip())
    oranges = int(s.split(""and"")[1].split(""oranges"")[0].strip())
    return n - apples - oranges
","def check(candidate):

    # Check some simple cases
    assert candidate(""5 apples and 6 oranges"",19) == 8
    assert candidate(""5 apples and 6 oranges"",21) == 10
    assert candidate(""0 apples and 1 oranges"",3) == 2
    assert candidate(""1 apples and 0 oranges"",3) == 2
    assert candidate(""2 apples and 3 oranges"",100) == 95
    assert candidate(""2 apples and 3 oranges"",5) == 0
    assert candidate(""1 apples and 100 oranges"",120) == 19
",Error
,"def pluck(arr):
    """"""
    Дан массив, представляющий ветвь дерева с неотрицательными целыми узлами, ваша задача состоит в том, чтобы выделить один из узлов и вернуть его.
    Выделенный узел должен быть узлом с наименьшим четным значением.
    Если найдено несколько узлов с одинаковым наименьшим четным значением, верните узел с наименьшим индексом.
    Выбранный узел должен быть возвращен в виде списка, [ наименьшее значение, его индекс ],
    Если четных значений нет или данный массив пуст, верните [].
    
    Примеры:
     1:
    Input: [4,2,3]
    Output: [2, 1]
    Explanation: 2 has the smallest even value, and 2 has the smallest index.
     2:
    Input: [1,2,3]
    Output: [2, 1]
    Explanation: 2 has the smallest even value, and 2 has the smallest index.
     3:
    Input: []
    Output: []
     4:
    Input: [5, 0, 3, 0, 4, 2]
    Output: [0, 1]
    Explanation: 0 is the smallest value, but  there are two zeros,
    so we will choose the first zero, which has the smallest index.
    Constraints:
    * 1 <= nodes.length <= 10000
    * 0 <= node.value
    """"""
","def pluck(arr):
    even_nodes = [(v, i) for i, v in enumerate(arr) if v % 2 == 0]
    if even_nodes:
        smallest_even_node = min(even_nodes, key=lambda x: (x[0], x[1]))
        return list(smallest_even_node)
    return []

# Test cases
print(pluck([4,2,3]))  # [2, 1]
print(pluck([1,2,3]))  # [2, 1]
print(pluck([]))  # []
print(pluck([5, 0, 3, 0, 4, 2]))  # [0, 1]

# Time complexity: O(n)
# Space complexity: O(n)
","def pluck(arr):
    even_nodes = [(v, i) for i, v in enumerate(arr) if v % 2 == 0]
    if even_nodes:
        smallest_even_node = min(even_nodes, key=lambda x: (x[0], x[1]))
        return list(smallest_even_node)
    return []
","def check(candidate):

    # Check some simple cases
    assert True, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate([4,2,3]) == [2, 1], ""Error""
    assert candidate([1,2,3]) == [2, 1], ""Error""
    assert candidate([]) == [], ""Error""
    assert candidate([5, 0, 3, 0, 4, 2]) == [0, 1], ""Error""

    # Check some edge cases that are easy to work out by hand.
    assert True, ""This prints if this assert fails 2 (also good for debugging!)""
    assert candidate([1, 2, 3, 0, 5, 3]) == [0, 3], ""Error""
    assert candidate([5, 4, 8, 4 ,8]) == [4, 1], ""Error""
    assert candidate([7, 6, 7, 1]) == [6, 1], ""Error""
    assert candidate([7, 9, 7, 1]) == [], ""Error""

",Ok
,"def search(lst):
    """"""
    Вам дан непустой список целых положительных чисел. Возвращает наибольшее целое число, которое больше нуля и имеет частоту, большую или равную самого числа.
    Частота целого числа - это количество раз, когда оно появляется в списке.
    Если такого значения не существует, верните -1.
    
    Примеры:
    search([4, 1, 2, 2, 3, 1]) == 2
    search([1, 2, 2, 3, 3, 3, 4, 4, 4]) == 3
    search([5, 5, 4, 4, 4]) == -1
    """"""
","def search(lst):
    from collections import Counter
    c = Counter(lst)
    max_val = max(c.keys())
    max_freq = max(c.values())
    for i in range(max_val, 0, -1):
        if i in c and c[i] >= i:
            return i
    return -1

print(search([4, 1, 2, 2, 3, 1])) # 2
print(search([1, 2, 2, 3, 3, 3, 4, 4, 4])) # 3
print(search([5, 5, 4, 4, 4])) # -1
print(search([1, 1, 1, 2, 2, 2, 3, 3, 3","def search(lst):
    from collections import Counter
    c = Counter(lst)
    max_val = max(c.keys())
    max_freq = max(c.values())
    for i in range(max_val, 0, -1):
        if i in c and c[i] >= i:
            return i
    return -1
","def check(candidate):

    # manually generated tests
    assert candidate([5, 5, 5, 5, 1]) == 1
    assert candidate([4, 1, 4, 1, 4, 4]) == 4
    assert candidate([3, 3]) == -1
    assert candidate([8, 8, 8, 8, 8, 8, 8, 8]) == 8
    assert candidate([2, 3, 3, 2, 2]) == 2

    # automatically generated tests
    assert candidate([2, 7, 8, 8, 4, 8, 7, 3, 9, 6, 5, 10, 4, 3, 6, 7, 1, 7, 4, 10, 8, 1]) == 1
    assert candidate([3, 2, 8, 2]) == 2
    assert candidate([6, 7, 1, 8, 8, 10, 5, 8, 5, 3, 10]) == 1
    assert candidate([8, 8, 3, 6, 5, 6, 4]) == -1
    assert candidate([6, 9, 6, 7, 1, 4, 7, 1, 8, 8, 9, 8, 10, 10, 8, 4, 10, 4, 10, 1, 2, 9, 5, 7, 9]) == 1
    assert candidate([1, 9, 10, 1, 3]) == 1
    assert candidate([6, 9, 7, 5, 8, 7, 5, 3, 7, 5, 10, 10, 3, 6, 10, 2, 8, 6, 5, 4, 9, 5, 3, 10]) == 5
    assert candidate([1]) == 1
    assert candidate([8, 8, 10, 6, 4, 3, 5, 8, 2, 4, 2, 8, 4, 6, 10, 4, 2, 1, 10, 2, 1, 1, 5]) == 4
    assert candidate([2, 10, 4, 8, 2, 10, 5, 1, 2, 9, 5, 5, 6, 3, 8, 6, 4, 10]) == 2
    assert candidate([1, 6, 10, 1, 6, 9, 10, 8, 6, 8, 7, 3]) == 1
    assert candidate([9, 2, 4, 1, 5, 1, 5, 2, 5, 7, 7, 7, 3, 10, 1, 5, 4, 2, 8, 4, 1, 9, 10, 7, 10, 2, 8, 10, 9, 4]) == 4
    assert candidate([2, 6, 4, 2, 8, 7, 5, 6, 4, 10, 4, 6, 3, 7, 8, 8, 3, 1, 4, 2, 2, 10, 7]) == 4
    assert candidate([9, 8, 6, 10, 2, 6, 10, 2, 7, 8, 10, 3, 8, 2, 6, 2, 3, 1]) == 2
    assert candidate([5, 5, 3, 9, 5, 6, 3, 2, 8, 5, 6, 10, 10, 6, 8, 4, 10, 7, 7, 10, 8]) == -1
    assert candidate([10]) == -1
    assert candidate([9, 7, 7, 2, 4, 7, 2, 10, 9, 7, 5, 7, 2]) == 2
    assert candidate([5, 4, 10, 2, 1, 1, 10, 3, 6, 1, 8]) == 1
    assert candidate([7, 9, 9, 9, 3, 4, 1, 5, 9, 1, 2, 1, 1, 10, 7, 5, 6, 7, 6, 7, 7, 6]) == 1
    assert candidate([3, 10, 10, 9, 2]) == -1

",Ok
,"def strange_sort_list(lst):
    """"""
    Задан список целых чисел, верните список в странном порядке.
    Странный порядок - это когда вы начинаете с минимального значения,
    затем максимального из оставшихся целых чисел, затем минимального и так далее.
    
    Примеры:
    s:
    strange_sort_list([1, 2, 3, 4]) == [1, 4, 2, 3]
    strange_sort_list([5, 5, 5, 5]) == [5, 5, 5, 5]
    strange_sort_list([]) == []
    """"""
","def strange_sort_list(lst):
    lst.sort()
    result = []
    while len(lst) > 0:
        result.append(lst.pop(0))
        if len(lst) > 0:
            result.append(lst.pop())
    return result

print(strange_sort_list([1, 2, 3, 4]))  # [1, 4, 2, 3]
print(strange_sort_list([5, 5, 5, 5]))  # [5, 5, 5, 5]
print(strange_sort_list([]))  # []

### Explanation:

В этой функции мы сначала сортируем список. Затем мы берем минимал","def strange_sort_list(lst):
    lst.sort()
    result = []
    while len(lst) > 0:
        result.append(lst.pop(0))
        if len(lst) > 0:
            result.append(lst.pop())
    return result
","def check(candidate):

    # Check some simple cases
    assert candidate([1, 2, 3, 4]) == [1, 4, 2, 3]
    assert candidate([5, 6, 7, 8, 9]) == [5, 9, 6, 8, 7]
    assert candidate([1, 2, 3, 4, 5]) == [1, 5, 2, 4, 3]
    assert candidate([5, 6, 7, 8, 9, 1]) == [1, 9, 5, 8, 6, 7]
    assert candidate([5, 5, 5, 5]) == [5, 5, 5, 5]
    assert candidate([]) == []
    assert candidate([1,2,3,4,5,6,7,8]) == [1, 8, 2, 7, 3, 6, 4, 5]
    assert candidate([0,2,2,2,5,5,-5,-5]) == [-5, 5, -5, 5, 0, 2, 2, 2]
    assert candidate([111111]) == [111111]

    # Check some edge cases that are easy to work out by hand.
    assert True

",Ok
,"def triangle_area(a, b, c):
    """"""
    Даны длины трех сторон треугольника. Верните площадь треугольника, округленную до 2 знаков после запятой, если три стороны образуют треугольник.
    В противном случае верните -1
    Три стороны образуют треугольник, когда сумма любых двух сторон больше третьей стороны.
    
    Примеры:
    :
    triangle_area(3, 4, 5) == 6.00
    triangle_area(1, 2, 10) == -1
    """"""
","def triangle_area(a, b, c):
    # Проверка, образуют ли стороны треугольник
    if a + b > c and a + c > b and b + c > a:
        # Вычисление полупериметра
        p = (a + b + c) / 2
        # Вычисление площади по формуле Герона
        area = (p * (p - a) * (p - b) * (p - c)) ** 0.5
        return round(area, 2)
    else:
        return -1

print(triangle_area(3, 4, 5))  # 6.00
print(triangle_area(1, 2, 10))  # -1
print(triangle_area(3, 4","def triangle_area(a, b, c):
    # Проверка, образуют ли стороны треугольник
    if a + b > c and a + c > b and b + c > a:
        # Вычисление полупериметра
        p = (a + b + c) / 2
        # Вычисление площади по формуле Герона
        area = (p * (p - a) * (p - b) * (p - c)) ** 0.5
        return round(area, 2)
    else:
        return -1
","def check(candidate):

    # Check some simple cases
    assert candidate(3, 4, 5) == 6.00, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate(1, 2, 10) == -1
    assert candidate(4, 8, 5) == 8.18
    assert candidate(2, 2, 2) == 1.73
    assert candidate(1, 2, 3) == -1
    assert candidate(10, 5, 7) == 16.25
    assert candidate(2, 6, 3) == -1

    # Check some edge cases that are easy to work out by hand.
    assert candidate(1, 1, 1) == 0.43, ""This prints if this assert fails 2 (also good for debugging!)""
    assert candidate(2, 2, 10) == -1

",Ok
,"def will_it_fly(q,w):
    """"""
    Напишите функцию, которая возвращает True, если объект q может полететь, и False в противном случае.
    Объект q полетит, если он сбалансирован (это палиндромный список) и сумма его элементов меньше или равна максимально возможному весу w.
    
    Примеры:
    will_it_fly([1, 2], 5) ➞ False # 1+2 is less than the maximum possible weight, but it's unbalanced.
    will_it_fly([3, 2, 3], 1) ➞ False # it's balanced, but 3+2+3 is more than the maximum possible weight.
    will_it_fly([3, 2, 3], 9) ➞ True # 3+2+3 is less than the maximum possible weight, and it's balanced.
    will_it_fly([3], 5) ➞ True # 3 is less than the maximum possible weight, and it's balanced.
    """"""
","def will_it_fly(q,w):
    if sum(q) <= w and q == q[::-1]:
        return True
    else:
        return False

print(will_it_fly([1, 2], 5)) # False
print(will_it_fly([3, 2, 3], 1)) # False
print(will_it_fly([3, 2, 3], 9)) # True
print(will_it_fly([3], 5)) # True

# В этой функции сначала проверяется условие суммы элементов списка q меньше или равно максимально возможному весу w.
# Затем проверяется условие список q является па","def will_it_fly(q,w):
    if sum(q) <= w and q == q[::-1]:
        return True
    else:
        return False
","def check(candidate):

    # Check some simple cases
    assert candidate([3, 2, 3], 9) is True
    assert candidate([1, 2], 5) is False
    assert candidate([3], 5) is True
    assert candidate([3, 2, 3], 1) is False


    # Check some edge cases that are easy to work out by hand.
    assert candidate([1, 2, 3], 6) is False
    assert candidate([5], 5) is True

",Ok
,"def smallest_change(arr):
    """"""
    Дан массив arr целых чисел, найдите минимальное количество элементов, которые необходимо изменить, чтобы сделать массив палиндромным. Палиндромный массив - это массив, который считывается одинаково спереди и сзади. За одно изменение вы можете заменить один элемент на любой другой.
    
    Примеры:
    :
    smallest_change([1,2,3,5,4,7,9,6]) == 4
    smallest_change([1, 2, 3, 4, 3, 2, 2]) == 1
    smallest_change([1, 2, 3, 2, 1]) == 0
    """"""
","def smallest_change(arr):
    n = len(arr)
    changes = 0
    for i in range(n//2):
        if arr[i] != arr[n-i-1]:
            changes += 1
    return changes

print(smallest_change([1,2,3,5,4,7,9,6])) # 4
print(smallest_change([1, 2, 3, 4, 3, 2, 2])) # 1
print(smallest_change([1, 2, 3, 2, 1])) # 0
print(smallest_change([1, 2, 3, 4, 4, 3, 2, 2])) # 1
print(smallest_change([1, 2, 3, 4, 5, 6,","def smallest_change(arr):
    n = len(arr)
    changes = 0
    for i in range(n//2):
        if arr[i] != arr[n-i-1]:
            changes += 1
    return changes
","def check(candidate):

    # Check some simple cases
    assert candidate([1,2,3,5,4,7,9,6]) == 4
    assert candidate([1, 2, 3, 4, 3, 2, 2]) == 1
    assert candidate([1, 4, 2]) == 1
    assert candidate([1, 4, 4, 2]) == 1

    # Check some edge cases that are easy to work out by hand.
    assert candidate([1, 2, 3, 2, 1]) == 0
    assert candidate([3, 1, 1, 3]) == 0
    assert candidate([1]) == 0
    assert candidate([0, 1]) == 1

",Ok
,"def total_match(lst1, lst2):
    """"""
    Напишите функцию, которая принимает два списка строк и возвращает список, в котором общее количество символов во всех строках списка меньше, чем в другом списке.
    если в двух списках одинаковое количество символов, верните первый список.
    
    Примеры:
    s
    total_match([], []) ➞ []
    total_match(['hi', 'admin'], ['hI', 'Hi']) ➞ ['hI', 'Hi']
    total_match(['hi', 'admin'], ['hi', 'hi', 'admin', 'project']) ➞ ['hi', 'admin']
    total_match(['hi', 'admin'], ['hI', 'hi', 'hi']) ➞ ['hI', 'hi', 'hi']
    total_match(['4'], ['1', '2', '3', '4', '5']) ➞ ['4']
    """"""
","def total_match(lst1, lst2):
    sum1 = sum(len(word) for word in lst1)
    sum2 = sum(len(word) for word in lst2)
    if sum1 < sum2:
        return lst1
    elif sum1 > sum2:
        return lst2
    else:
        return lst1

print(total_match([], []))
print(total_match(['hi', 'admin'], ['hI', 'Hi']))
print(total_match(['hi', 'admin'], ['hi', 'hi', 'admin', 'project']))
print(total_match(['hi', 'admin'], ['hI', 'hi', 'hi']))
print(total_match(['4'], ['1', '2', '3', '4', '5']))
","def total_match(lst1, lst2):
    sum1 = sum(len(word) for word in lst1)
    sum2 = sum(len(word) for word in lst2)
    if sum1 < sum2:
        return lst1
    elif sum1 > sum2:
        return lst2
    else:
        return lst1
","def check(candidate):

    # Check some simple cases
    assert True, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate([], []) == []
    assert candidate(['hi', 'admin'], ['hi', 'hi']) == ['hi', 'hi']
    assert candidate(['hi', 'admin'], ['hi', 'hi', 'admin', 'project']) == ['hi', 'admin']
    assert candidate(['4'], ['1', '2', '3', '4', '5']) == ['4']
    assert candidate(['hi', 'admin'], ['hI', 'Hi']) == ['hI', 'Hi']
    assert candidate(['hi', 'admin'], ['hI', 'hi', 'hi']) == ['hI', 'hi', 'hi']
    assert candidate(['hi', 'admin'], ['hI', 'hi', 'hii']) == ['hi', 'admin']


    # Check some edge cases that are easy to work out by hand.
    assert True, ""This prints if this assert fails 2 (also good for debugging!)""
    assert candidate([], ['this']) == []
    assert candidate(['this'], []) == []

",Ok
